match_id,tournament,year,draw,round,player1,player2,result,match_played,result_source,public_video_count,verified_official_full_video_count,candidate_full_video_count,coverage_status
australian-open-2005-women-qf-nathalie-dechy-patty-schnyder,Australian Open,2005,women,QF,Nathalie Dechy,Patty Schnyder,5-7 6-1 7-5,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2005-women-sf-lindsay-davenport-nathalie-dechy,Australian Open,2005,women,SF,Lindsay Davenport,Nathalie Dechy,2-6 7-6(5) 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2005-women-sf-maria-sharapova-serena-williams,Australian Open,2005,women,SF,Maria Sharapova,Serena Williams,2-6 7-5 8-6,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
australian-open-2005-women-f-lindsay-davenport-serena-williams,Australian Open,2005,women,F,Lindsay Davenport,Serena Williams,2-6 6-3 6-0,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
australian-open-2006-men-qf-david-nalbandian-fabrice-santoro,Australian Open,2006,men,QF,David Nalbandian,Fabrice Santoro,7-5 6-0 6-0,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2006-men-qf-ivan-ljubicic-marcos-baghdatis,Australian Open,2006,men,QF,Ivan Ljubicic,Marcos Baghdatis,6-4 6-2 4-6 3-6 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2006-men-qf-nicolas-kiefer-sebastien-grosjean,Australian Open,2006,men,QF,Nicolas Kiefer,Sebastien Grosjean,6-3 0-6 6-4 6-7(1) 8-6,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2006-men-qf-nikolay-davydenko-roger-federer,Australian Open,2006,men,QF,Nikolay Davydenko,Roger Federer,6-4 3-6 7-6(7) 7-6(5),True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2006-men-sf-david-nalbandian-marcos-baghdatis,Australian Open,2006,men,SF,David Nalbandian,Marcos Baghdatis,3-6 5-7 6-3 6-4 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2006-men-sf-nicolas-kiefer-roger-federer,Australian Open,2006,men,SF,Nicolas Kiefer,Roger Federer,6-3 5-7 6-0 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,2,public_full_match_candidate
australian-open-2006-men-f-marcos-baghdatis-roger-federer,Australian Open,2006,men,F,Marcos Baghdatis,Roger Federer,5-7 7-5 6-0 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
australian-open-2006-women-qf-amelie-mauresmo-patty-schnyder,Australian Open,2006,women,QF,Amelie Mauresmo,Patty Schnyder,6-3 6-0,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2006-women-qf-justine-henin-lindsay-davenport,Australian Open,2006,women,QF,Justine Henin,Lindsay Davenport,2-6 6-2 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),4,0,2,public_full_match_candidate
australian-open-2006-women-qf-kim-clijsters-martina-hingis,Australian Open,2006,women,QF,Kim Clijsters,Martina Hingis,6-3 2-6 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
australian-open-2006-women-qf-maria-sharapova-nadia-petrova,Australian Open,2006,women,QF,Maria Sharapova,Nadia Petrova,7-6(6) 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2006-women-sf-amelie-mauresmo-kim-clijsters,Australian Open,2006,women,SF,Amelie Mauresmo,Kim Clijsters,5-7 6-2 3-2 RET,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),5,0,1,public_full_match_candidate
australian-open-2006-women-sf-justine-henin-maria-sharapova,Australian Open,2006,women,SF,Justine Henin,Maria Sharapova,4-6 6-1 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,0,verified_official_full_match
australian-open-2006-women-f-amelie-mauresmo-justine-henin,Australian Open,2006,women,F,Amelie Mauresmo,Justine Henin,6-1 2-0 RET,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2007-men-qf-andy-roddick-mardy-fish,Australian Open,2007,men,QF,Andy Roddick,Mardy Fish,6-2 6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),3,0,2,public_full_match_candidate
australian-open-2007-men-qf-fernando-gonzalez-rafael-nadal,Australian Open,2007,men,QF,Fernando Gonzalez,Rafael Nadal,6-2 6-4 6-3,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,0,candidate_only
australian-open-2007-men-qf-nikolay-davydenko-tommy-haas,Australian Open,2007,men,QF,Nikolay Davydenko,Tommy Haas,6-3 2-6 1-6 6-1 7-5,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,1,public_full_match_candidate
australian-open-2007-men-qf-roger-federer-tommy-robredo,Australian Open,2007,men,QF,Roger Federer,Tommy Robredo,6-3 7-6(2) 7-5,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2007-men-sf-andy-roddick-roger-federer,Australian Open,2007,men,SF,Andy Roddick,Roger Federer,6-4 6-0 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2007-men-sf-fernando-gonzalez-tommy-haas,Australian Open,2007,men,SF,Fernando Gonzalez,Tommy Haas,6-1 6-3 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,2,public_full_match_candidate
australian-open-2007-men-f-fernando-gonzalez-roger-federer,Australian Open,2007,men,F,Fernando Gonzalez,Roger Federer,7-6(2) 6-4 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2007-women-qf-anna-chakvetadze-maria-sharapova,Australian Open,2007,women,QF,Anna Chakvetadze,Maria Sharapova,7-6(5) 7-5,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
